ticker,last_price,ret_1d,ret_5d,ret_20d,ytd,ma20,ma50,ma200,rsi14,volume_ratio,above_20ma,above_50ma,above_200ma,volume_ratio_zscore,sector_score
TMUS,195.91,0.002097205432784355,0.03219178352007379,-0.02725913803749569,-0.013668652672134685,194.1515,205.9062,215.0872,53.15,0.237,True,False,False,-0.30818908984605126,
CRWD,455.15,0.021088040149151777,0.01566507249499538,0.140383843116769,0.003461368161508549,429.0965,413.3942,457.5554,71.78,0.271,True,True,False,-0.2906218688537089,
SNPS,492.8099,0.02115602936845762,-0.0159939722878798,0.24462657106367947,0.02578970948717285,448.528,432.009,479.5037,74.2,0.27,True,True,True,-0.2911385518240719,
TSLA,396.98,0.040222220231947325,0.054956215424426524,0.10091798169114563,-0.09379778494508884,372.8965,383.8378,402.5234,68.82,0.695,True,True,False,-0.07154828941979223,
TXN,279.89,-0.004233570444981405,0.009922782184624168,0.43629097173283227,0.5869587297873964,238.489,214.619,191.5131,79.72,0.257,True,True,True,-0.29785543043879104,
DIA,496.73,0.00016111364306281573,0.009183112106050162,0.06855208962397219,0.0313944243606763,486.7141,478.1899,469.4969,71.48,0.829,True,True,True,-0.00231277139114874,
ON,102.58,0.0175578247726087,0.042479677239399605,0.6494613940544329,0.8091710837877721,83.1235,70.5248,58.1691,87.79,0.52,True,True,True,-0.16196780923331913,
KLAC,1730.35,-0.011426286330712188,-0.1057622865188953,0.14075974695864368,0.35946587814279374,1761.197,1590.615,1258.6347,46.49,0.399,False,True,True,-0.22448644864724346,
AMAT,391.25,-0.008213111395931838,-0.06184061005298935,0.12276522693327108,0.4569790205149058,391.355,369.491,268.8973,47.67,0.352,False,True,True,-0.248770548254305,
XLI,173.5,-0.006186286056405477,0.005972045990646269,0.0594125631904574,0.10132621205735903,171.428,169.445,158.6559,51.67,0.539,True,True,True,-0.15215083279642191,-0.031731695790293245
IDXX,569.3199,0.0151923995121106,0.005989950386084297,-0.0004040076270638293,-0.15025613284946615,573.7075,589.5386,641.2281,48.35,0.424,False,False,False,-0.21156937438816822,
VXX,28.105,-0.0030152887623607905,-0.05656264926171073,-0.19005766788762624,0.07681989009433488,29.9362,31.7171,32.9734,36.53,0.405,False,False,False,-0.22138635082506541,
SMCI,27.57,0.0062043824328732455,-0.05192573015280111,0.18733852326033085,-0.10949610755475192,26.6315,27.7544,37.7666,56.28,0.443,True,False,False,-0.20175239795127098,
XLB,51.55,0.0015542649011099918,-0.007126327907038932,0.022614548563760106,0.12270705741087173,51.5805,50.7495,46.722,41.71,0.601,False,True,True,-0.12011648863391526,-0.025384063648339738
PLTR,144.95,0.04198113947428195,0.012998816534731006,-0.023642796759331786,-0.13648280459196283,141.6065,145.2014,164.2996,63.69,0.466,True,False,False,-0.18986868963292172,
CPRT,33.2938,0.0055511851484195684,0.00676748295267493,-0.003179675659377268,-0.1185120479086379,33.2942,34.3075,40.8334,50.89,0.311,False,False,False,-0.2699545500391885,
^VVIX,93.8,0.0010673010327932886,-0.03478079072652529,-0.18668168245445682,0.04106553429853199,100.2555,111.555,102.3644,38.08,,False,False,False,,
NG=F,2.778,0.003975481229426592,0.10107019986053989,-0.007857084408097292,-0.232172445296841,2.6713,2.8703,3.4423,62.48,0.764,True,False,False,-0.03589716446474443,
MRVL,165.6201,0.0028465519200759903,0.007973369786278495,0.547035803199208,0.8550423320518696,141.9722,109.8189,88.3415,77.93,0.279,True,True,True,-0.2864884050908048,
MRNA,44.79,-0.025032602210681043,-0.11709045299248455,-0.08963414185013585,0.45139339046231775,50.9845,51.7485,35.6991,34.34,1.121,False,False,True,0.14855865595485052,
XLE,58.805,-0.014165988249581596,0.034024994015010135,-0.00751054337256063,0.2965874134602744,57.2938,57.5218,47.9894,58.81,0.598,True,True,True,-0.1216665375450043,-0.021208803429288617
DXCM,60.29,0.012426560670822928,-0.020789325737230357,-0.031018969259254736,-0.09392846278938871,62.3835,65.8302,69.4887,41.52,1.568,False,False,False,0.3795159437071165,
AMZN,269.0,0.014864568315463345,0.018978029285038556,0.28235684092663615,0.1876379690949228,247.4025,224.8156,227.3811,83.19,0.661,True,True,True,-0.08911551041213456,
PCAR,116.77,-0.01708759559380635,-0.08055120753491019,-0.01310009343944929,0.04942665521517564,123.8055,120.885,108.383,29.16,0.395,False,False,True,-0.22655318052869552,
XLY,119.245,0.007562351364598152,0.004676049319737752,0.10258900660346493,0.009586356986686972,116.1662,113.8486,116.4933,67.22,0.82,True,True,True,-0.006962918124415844,0.003791406853337233
LQD,108.75,-0.0009186814471556781,-0.00775546063827548,-0.003390787548286034,-0.0016483146273600369,109.4375,109.282,108.7103,38.34,0.703,False,False,True,-0.06741482565688814,
MCHP,93.71,0.008610433654406835,0.04774146384738476,0.4285061168323172,0.44951212679015273,79.909,72.3681,67.3419,80.6,0.334,True,True,True,-0.2580708417208392,
